X,Y,Z,Mixed,ClassLabel
0.12502193,0.09498596,0.001296997,0.15701751,1.0
0.1507101,0.08328247,-0.023513794,0.1737884,1.0
0.10294056,0.111083984,0.010074616,0.15178244,1.0
0.03845024,0.0499115,0.007511139,0.06345074,1.0
-0.029148102,-0.10542297,0.017124176,0.11071067,1.0
0.040807724,0.006835938,-0.044761658,0.060955774,1.0
0.061084747,0.38005066,-0.14031601,0.40970528,1.0
0.06866646,0.29562378,-0.0701828,0.31150302,1.0
0.1240921,-0.29049683,0.13735199,0.3444602,1.0
0.06257439,-0.3776245,0.2259674,0.44449645,1.0
0.016944885,-0.15934753,0.087200165,0.18243529,1.0
0.019348145,-0.23553467,0.085796356,0.25141987,1.0
-0.08326912,-0.2685852,0.12895203,0.30935478,1.0
-0.27936554,-0.14811707,-0.001422882,0.31620532,1.0
-0.4546013,0.2711792,-0.20478821,0.56757265,1.0
-0.30050373,0.37757874,-0.22858047,0.5339637,1.0
-0.101797104,0.17520142,-0.11512375,0.23304863,1.0
-0.007784843,0.0362854,-0.11118317,0.11721319,1.0
0.18539906,-0.06878662,0.183,0.19775002,1.0
0.24252892,-0.2699585,0.0681839,0.36925182,1.0
0.4113512,-0.44252014,0.16259003,0.62567514,1.0
0.18507767,-0.078826904,0.007148743,0.20129214,1.0
0.12580681,-0.0796051,0.03371048,0.15264574,1.0
0.053653717,0.11920166,0.006465912,0.13087997,1.0
-0.07216644,0.15473938,-0.067920685,0.1837539,1.0
-0.14463043,0.13414001,-0.03794861,0.20087709,1.0
-0.1607914,0.09599304,-0.021324158,0.18847615,1.0
-0.13872814,0.045455933,-0.038692474,0.15102598,1.0
-0.15103817,-0.05227661,0.03570938,0.16376975,1.0
-0.058898926,-0.21632385,0.068416595,0.23440547,1.0
-0.07721424,-0.27488708,0.099170685,0.30225778,1.0
-0.00214386,-0.17037964,0.13261032,0.21591507,1.0
-0.055600166,-0.3054657,0.12994385,0.33657998,1.0
-0.08568382,-0.21505737,0.060466766,0.23926474,1.0
-0.091238976,0.18766785,-0.06542206,0.21868657,1.0
0.012432098,0.20417786,-0.081027985,0.22001976,1.0
0.09813213,0.114730835,0.010318756,0.151326,1.0
0.1425705,0.16989136,0.019111633,0.22260879,1.0
0.17156124,-0.08049011,0.09257889,0.21090938,1.0
0.23842144,-0.099227905,0.046726227,0.26243913,1.0
0.08006668,0.012023926,0.03139496,0.086838305,1.0
-0.043668747,-0.01725769,-0.023860931,0.052670024,1.0
-0.051664352,0.2073822,-0.089962006,0.23188303,1.0
0.015293121,0.2735138,-0.17779922,0.32658267,1.0
0.01905632,0.25212097,-0.18364334,0.3124948,1.0
0.06911087,0.2467804,-0.19369888,0.32124156,1.0
0.039316177,0.2693329,-0.14406967,0.30796432,1.0
0.09938049,0.9219971,-0.15589523,0.9403501,1.0
-0.14543724,-0.14692688,0.1249733,0.24157365,1.0
-0.26708603,-0.37486267,0.13467026,0.4795759,1.0
0.037475586,-0.5723419,0.049697876,0.57571656,1.0
0.090436935,-0.5267792,0.1240654,0.54869604,1.0
0.20748901,0.029830933,-0.00177002,0.20962994,1.0
0.14056206,0.1313324,0.006813049,0.19248976,1.0
0.30510712,0.27604675,-0.03256607,0.41273805,1.0
0.2374878,0.2891388,-0.053958893,0.3780387,1.0
0.3073063,0.2081604,0.023536682,0.3719165,1.0
0.3811016,0.22557068,-0.108695984,0.4559993,1.0
0.12937927,-0.024154663,-0.031341553,0.13529499,1.0
0.0700531,-0.28128052,0.06322861,0.29668844,1.0
-0.05807495,-0.053649902,0.0553627,0.096519634,1.0
0.31201553,0.24343872,-0.14172745,0.4203603,1.0
-0.040060043,-0.55648804,0.16977692,0.58318776,1.0
-0.109386444,-0.4369049,0.15572739,0.47655252,1.0
-0.005878449,-0.2669983,0.020946503,0.26788318,1.0
0.173872,0.07510376,-0.1304512,0.22997731,1.0
0.1340046,0.15922546,-0.054374695,0.21509668,1.0
0.069625854,0.003341675,0.044513702,0.08270668,1.0
0.06389618,0.12181091,-0.029815674,0.14074655,1.0
0.069568634,0.016708374,-0.040229797,0.08208167,1.0
0.013204575,0.03050232,-0.09276581,0.09854059,1.0
-0.08700752,0.13208008,-0.077762604,0.17624551,1.0
-0.17627716,0.78816223,-0.16880417,0.8250868,1.0
-0.1194706,0.6075592,-0.18642426,0.64664936,1.0
0.001094818,0.508255,-0.2592163,0.5705414,1.0
-0.042482376,0.16931152,-0.037029266,0.17844413,1.0
-0.11067772,0.028457642,-0.05014038,0.12479364,1.0
-0.33292198,-0.08229065,-0.02153778,0.34361702,1.0
-0.3878193,-0.004455566,0.021938324,0.38846484,1.0
-0.11461449,0.37745667,-0.11842346,0.41186664,1.0
-0.015277863,0.38562012,-0.24658585,0.45797473,1.0
-0.024284363,0.35456848,-0.17713165,0.39709464,1.0
-0.00884819,0.17034912,-0.11684036,0.20675778,1.0
0.11312,0.12236023,-0.054805756,0.1340741,1.0
-0.01822853,0.18664551,-0.024715424,0.18915516,1.0
0.12188339,0.011001587,0.025783539,0.12506554,1.0
0.24135017,-0.46406555,0.533062,0.7468345,1.0
-0.22947884,-0.80319214,0.46665192,0.9568397,1.0
-0.4901867,-0.42755127,-0.12804794,0.6629324,1.0
0.10478401,0.7641449,-0.52695084,0.9341169,1.0
0.37264633,-0.26908875,0.38768387,0.60130924,1.0
0.1437005,-0.55015564,0.43680573,0.70247465,1.0
0.021438599,-0.58551025,0.3446312,0.6797445,1.0
0.015478134,-0.3122406,0.14156342,0.34318212,1.0
-0.072942734,-0.27433777,0.05164337,0.28852886,1.0
-0.060028076,-0.2103424,-0.017341614,0.21942659,1.0
-0.10045624,-0.030593872,0.04398346,0.11385071,1.0
-0.099723816,0.023376465,0.14317322,0.1760394,1.0
-0.26277637,-0.024169922,-0.093185425,0.27985555,1.0
-0.33254147,-0.54985046,0.22195053,0.67983925,1.0
-0.2768364,-0.5573578,0.34659576,0.71233046,1.0
-0.11509609,-0.31747437,0.21749878,0.401675,1.0
-0.0674324,-0.2803192,0.23533249,0.37216577,1.0
0.07377815,-0.008636475,0.0880661,0.11521043,1.0
0.08069992,0.09034729,0.075733185,0.14286576,1.0
